CO,POLICYNO,RECTYP,ACTYR,ACTMO,DEPEFFYR,DEPEFFMO,DEPEFFDAY,DEPLDGYR,DEPLDGMO,DEPLDGDAY,DEPAMOUNT,PREMIND
GALIC,2019524,24,2018,6,2018,6,5,2018,6,5,27.08,P
GALIC,2019554,24,2018,6,2018,6,28,2018,6,28,25,P
GALIC,2019554,24,2018,6,2018,6,13,2018,6,13,25,P
GALIC,2019623,24,2018,6,2018,6,18,2018,6,18,-2970.3,S
GALIC,2019695,24,2018,6,2018,6,1,2018,6,1,-1414.34,S
GALIC,2019709,24,2018,6,2018,6,1,2018,6,1,-2060.99,S
GALIC,2019849,24,2018,6,2018,6,21,2018,6,21,100.5,P
GALIC,2019849,24,2018,6,2018,6,7,2018,6,7,100.5,P
GALIC,2019968,24,2018,6,2018,6,19,2018,6,19,-375,S
GALIC,2020173,24,2018,6,2018,6,27,2018,6,27,-350,S
GALIC,2020358,24,2018,6,2018,6,12,2018,6,12,1000,P
GALIC,2020407,24,2018,6,2018,6,27,2018,6,27,-235.85,S
GALIC,2020475,24,2018,6,2018,6,28,2018,6,28,115.38,P
GALIC,2020475,24,2018,6,2018,6,21,2018,6,21,115.38,P
GALIC,2020475,24,2018,6,2018,6,1,2018,6,1,115.38,P
GALIC,2020729,24,2018,6,2018,6,1,2018,6,1,-971.17,S
GALIC,2021280,24,2018,6,2018,6,29,2018,6,29,225,P
GALIC,2021280,24,2018,6,2018,6,15,2018,6,15,225,P
GALIC,2021280,24,2018,6,2018,6,1,2018,6,1,225,P
GALIC,2021399,24,2018,6,2018,6,1,2018,6,1,-44.47,S
GALIC,2021636,24,2018,6,2018,6,1,2018,6,1,-3304.13,S
GALIC,2021703,24,2018,6,2018,6,7,2018,6,7,400,P
GALIC,2021838,24,2018,6,2018,6,7,2018,6,7,-301.54,S
GALIC,2021904,24,2018,6,2018,6,15,2018,6,15,-190.32,S
GALIC,2021924,24,2018,6,2018,6,28,2018,6,28,30,P
GALIC,2021924,24,2018,6,2018,6,12,2018,6,12,30,P
GALIC,2021995,24,2018,6,2018,5,21,2018,6,25,-16172.31,S
GALIC,2022087,24,2018,6,2018,6,26,2018,6,26,650,P
GALIC,2022087,24,2018,6,2018,6,12,2018,6,12,650,P
GALIC,2022231,24,2018,6,2018,6,7,2018,6,7,-203.59,S
GALIC,2022281,24,2018,6,2018,6,5,2018,6,5,-176.81,S
GALIC,2022323,24,2018,6,2018,6,19,2018,6,19,25,P
GALIC,2022323,24,2018,6,2018,6,6,2018,6,6,25,P
GALIC,2022513,24,2018,6,2018,6,28,2018,6,28,56,P
GALIC,2022513,24,2018,6,2018,6,14,2018,6,14,56,P
GALIC,2022513,24,2018,6,2018,6,4,2018,6,4,56,P
